,Year,Month,Day,Date,State,Magnitude,Damages,Starting Lat,Starting Long,Hour
0,2023,1,2,2023-01-02,AR,1,25000,33.2939,-92.7057,11
1,2023,1,2,2023-01-02,AR,1,5000000,34.694,-93.0673,14
2,2023,1,2,2023-01-02,LA,1,15000,31.7499,-93.4807,15
3,2023,1,2,2023-01-02,LA,0,10000,32.0582,-93.2735,15
5,2023,1,2,2023-01-02,LA,2,850000,32.172,-92.7048,16
6,2023,1,2,2023-01-02,OK,0,50000,36.346,-95.298,17
7,2023,1,2,2023-01-02,OK,1,100000,35.32,-95.474,17
8,2023,1,2,2023-01-02,LA,2,250000,32.784,-92.1695,18
9,2023,1,2,2023-01-02,OK,1,75000,36.706,-94.874,18
10,2023,1,2,2023-01-02,LA,1,10000,32.8681,-91.8982,18
11,2023,1,2,2023-01-02,LA,1,100000,32.9539,-91.8686,18
12,2023,1,2,2023-01-02,AR,2,705000,33.0416,-91.7697,18
14,2023,1,2,2023-01-02,LA,0,120000,32.9621,-91.4023,21
15,2023,1,2,2023-01-02,LA,0,100000,32.9621,-91.4023,21
16,2023,1,2,2023-01-02,AR,0,20000,33.006,-91.377,21
17,2023,1,3,2023-01-03,TN,0,35000,35.545,-89.287,2
18,2023,1,3,2023-01-03,KY,0,30000,36.837,-87.5283,4
19,2023,1,3,2023-01-03,MS,0,25000,34.9561,-89.7784,6
20,2023,1,3,2023-01-03,MS,1,75000,34.4851,-89.2079,9
21,2023,1,3,2023-01-03,AL,1,0,34.5382,-87.8899,10
22,2023,1,3,2023-01-03,AL,1,0,32.4151,-87.7827,11
23,2023,1,3,2023-01-03,AL,1,0,32.6835,-87.3491,12
24,2023,1,3,2023-01-03,AL,0,0,32.8493,-87.0548,12
25,2023,1,3,2023-01-03,AL,0,0,32.5609,-86.5972,13
26,2023,1,3,2023-01-03,AL,1,0,32.988,-86.5264,13
27,2023,1,3,2023-01-03,AL,2,0,32.6239,-86.4098,13
28,2023,1,3,2023-01-03,AL,0,0,33.235,-86.0693,14
29,2023,1,3,2023-01-03,AL,0,0,33.3464,-85.6469,15
30,2023,1,3,2023-01-03,AL,0,0,33.0648,-85.4433,15
33,2023,1,3,2023-01-03,IL,0,0,40.0109,-89.0144,16
34,2023,1,3,2023-01-03,IL,1,0,40.0373,-88.9714,16
35,2023,1,3,2023-01-03,GA,0,0,33.3844,-84.7192,16
37,2023,1,3,2023-01-03,GA,0,0,33.6834,-84.14,17
38,2023,1,3,2023-01-03,IL,1,0,40.32,-88.481,17
39,2023,1,3,2023-01-03,IL,1,0,40.422,-88.367,17
40,2023,1,3,2023-01-03,IL,1,0,39.8643,-88.9289,18
41,2023,1,3,2023-01-03,IL,0,0,39.8822,-88.8946,18
42,2023,1,3,2023-01-03,MS,1,50000,31.7617,-89.1008,22
43,2023,1,4,2023-01-04,AL,1,0,32.8837,-85.9362,2
44,2023,1,4,2023-01-04,AL,1,0,32.3467,-86.1964,3
45,2023,1,4,2023-01-04,AL,0,0,32.384,-85.9258,3
46,2023,1,4,2023-01-04,GA,1,0,33.4071,-85.1896,4
47,2023,1,4,2023-01-04,AL,0,0,32.4249,-85.4533,4
48,2023,1,4,2023-01-04,GA,1,0,32.997,-82.845,7
49,2023,1,4,2023-01-04,GA,0,0,33.087,-82.491,8
50,2023,1,4,2023-01-04,SC,0,0,33.6098,-81.3907,9
51,2023,1,4,2023-01-04,SC,0,0,33.8859,-81.3356,9
52,2023,1,4,2023-01-04,SC,1,0,33.6653,-81.1892,9
53,2023,1,4,2023-01-04,SC,0,0,33.8849,-81.2369,9
54,2023,1,4,2023-01-04,SC,0,0,33.7079,-80.9301,10
55,2023,1,4,2023-01-04,GA,0,0,30.812,-82.6477,11
56,2023,1,4,2023-01-04,GA,1,0,31.4074,-82.2806,12
57,2023,1,4,2023-01-04,GA,0,0,30.9851,-81.9586,12
58,2023,1,4,2023-01-04,VA,0,50000,36.59,-77.32,13
59,2023,1,4,2023-01-04,NC,1,0,35.4378,-76.7974,13
60,2023,1,10,2023-01-10,CA,1,0,38.0834,-120.7581,6
61,2023,1,12,2023-01-12,KY,1,65000,37.18,-88.99,2
62,2023,1,12,2023-01-12,KY,1,50000,37.18,-88.99,2
63,2023,1,12,2023-01-12,IL,0,15000,37.23,-88.89,2
64,2023,1,12,2023-01-12,MS,1,75000,33.7182,-88.6716,6
65,2023,1,12,2023-01-12,KY,1,0,38.3529,-85.1327,7
66,2023,1,12,2023-01-12,KY,1,0,37.77,-84.91,8
67,2023,1,12,2023-01-12,AL,2,0,34.1658,-87.5864,8
68,2023,1,12,2023-01-12,AL,1,0,34.4494,-87.3637,8
69,2023,1,12,2023-01-12,KY,1,0,37.6878,-84.7367,8
70,2023,1,12,2023-01-12,KY,0,150000,38.6581,-84.5797,8
71,2023,1,12,2023-01-12,KY,1,0,37.7719,-84.2458,8
72,2023,1,12,2023-01-12,AL,2,0,32.7288,-88.3463,9
73,2023,1,12,2023-01-12,AL,2,0,32.842,-87.9158,9
74,2023,1,12,2023-01-12,AL,0,0,0.0,0.0,9
75,2023,1,12,2023-01-12,AL,2,0,32.6221,-87.7543,10
76,2023,1,12,2023-01-12,TN,0,0,35.4993,-84.8038,10
77,2023,1,12,2023-01-12,AL,1,0,32.8027,-87.2421,11
78,2023,1,12,2023-01-12,AL,2,0,32.3173,-87.2278,12
79,2023,1,12,2023-01-12,TN,0,0,35.9767,-83.509,12
80,2023,1,12,2023-01-12,AL,2,0,31.0196,-88.203,12
81,2023,1,12,2023-01-12,TN,0,0,36.0514,-83.2732,12
82,2023,1,12,2023-01-12,AL,3,0,32.5212,-86.7312,12
83,2023,1,12,2023-01-12,AL,0,0,0.0,0.0,12
84,2023,1,12,2023-01-12,AL,0,0,31.3616,-86.9346,13
85,2023,1,12,2023-01-12,AL,2,0,32.987,-85.413,14
86,2023,1,12,2023-01-12,AL,2,0,32.987,-85.413,14
87,2023,1,12,2023-01-12,GA,2,0,33.0736,-85.2254,14
89,2023,1,12,2023-01-12,GA,1,0,33.783,-84.607,14
90,2023,1,12,2023-01-12,GA,2,0,32.9927,-85.0735,14
91,2023,1,12,2023-01-12,GA,2,0,33.0506,-84.8449,14
92,2023,1,12,2023-01-12,AL,1,0,31.505,-86.2428,14
93,2023,1,12,2023-01-12,GA,3,0,33.1654,-84.4785,15
94,2023,1,12,2023-01-12,GA,2,0,33.1959,-84.4845,15
95,2023,1,12,2023-01-12,GA,1,0,33.3632,-82.8028,15
96,2023,1,12,2023-01-12,GA,1,0,33.2147,-84.4352,15
97,2023,1,12,2023-01-12,GA,1,0,33.1958,-84.4144,15
98,2023,1,12,2023-01-12,AL,1,0,31.625,-85.673,15
99,2023,1,12,2023-01-12,GA,2,0,33.2252,-84.2021,15
100,2023,1,12,2023-01-12,GA,1,0,33.243,-84.114,15
101,2023,1,12,2023-01-12,AL,0,0,34.7083,-85.8125,15
102,2023,1,12,2023-01-12,AL,1,50000,31.6778,-85.3872,15
103,2023,1,12,2023-01-12,GA,1,0,33.3649,-83.9775,15
104,2023,1,12,2023-01-12,SC,1,0,34.412,-81.815,16
105,2023,1,12,2023-01-12,NC,0,0,35.342,-81.14,17
106,2023,1,12,2023-01-12,SC,1,200000,34.247,-82.186,17
107,2023,1,12,2023-01-12,GA,1,0,32.066,-83.381,18
108,2023,1,12,2023-01-12,GA,0,0,32.086,-83.392,18
109,2023,1,14,2023-01-14,CA,0,25000,38.32,-121.14,16
110,2023,1,16,2023-01-16,IA,1,0,41.67,-91.99,14
112,2023,1,18,2023-01-18,AR,1,35000,33.3164,-93.3557,10
113,2023,1,18,2023-01-18,AR,1,130000,33.1034,-92.8093,12
114,2023,1,22,2023-01-22,FL,2,250000,30.4116,-86.3182,5
115,2023,1,22,2023-01-22,FL,1,100000,30.2939,-84.2843,11
116,2023,1,22,2023-01-22,GA,2,500000,31.1474,-83.444,16
117,2023,1,22,2023-01-22,GA,1,0,31.4166,-82.7684,17
118,2023,1,22,2023-01-22,GA,1,0,31.5711,-82.4294,17
119,2023,1,24,2023-01-24,TX,0,0,29.39,-95.74,13
120,2023,1,24,2023-01-24,TX,0,0,29.5457,-95.3372,14
121,2023,1,24,2023-01-24,TX,3,6600000,29.5958,-95.2483,14
122,2023,1,24,2023-01-24,TX,0,0,29.83,-94.77,14
123,2023,1,24,2023-01-24,TX,2,150000,30.0007,-94.4702,15
124,2023,1,24,2023-01-24,TX,1,15000,29.833,-94.1996,16
125,2023,1,24,2023-01-24,TX,1,25000,30.032,-93.9084,16
126,2023,1,24,2023-01-24,TX,2,1250000,30.0741,-93.8921,16
127,2023,1,24,2023-01-24,TX,2,1000000,30.0741,-93.8921,16
128,2023,1,24,2023-01-24,LA,2,250000,30.1797,-93.7106,16
129,2023,1,24,2023-01-24,LA,1,15000,30.2248,-93.6475,16
130,2023,1,24,2023-01-24,LA,2,505000,30.3578,-93.3634,17
131,2023,1,24,2023-01-24,LA,1,20000,30.4612,-93.2406,17
132,2023,1,24,2023-01-24,LA,1,113000,30.69,-91.42,19
133,2023,1,24,2023-01-24,LA,1,60000,29.6677,-90.7027,22
135,2023,1,25,2023-01-25,FL,0,0,30.35,-86.15,5
136,2023,1,25,2023-01-25,FL,0,0,30.3557,-86.0433,5
137,2023,1,25,2023-01-25,FL,0,0,30.43,-86.05,5
138,2023,1,25,2023-01-25,FL,0,10000,30.2885,-85.0355,7
139,2023,1,25,2023-01-25,FL,1,0,30.3172,-84.3812,9
140,2023,2,8,2023-02-08,LA,2,150000,30.8398,-90.5326,17
141,2023,2,8,2023-02-08,LA,2,200000,30.6625,-92.1568,18
142,2023,2,8,2023-02-08,LA,1,100000,30.8187,-92.0218,19
143,2023,2,8,2023-02-08,MS,0,10000,31.2862,-90.1128,19
144,2023,2,8,2023-02-08,MS,0,30000,31.3506,-90.0792,19
145,2023,2,8,2023-02-08,MS,1,40000,31.3926,-90.0633,19
146,2023,2,8,2023-02-08,MS,1,40000,31.9779,-89.9492,20
147,2023,2,8,2023-02-08,MS,0,75000,31.7806,-89.8657,20
148,2023,2,9,2023-02-09,FL,1,5000,30.6566,-86.0573,20
149,2023,2,16,2023-02-16,AR,1,200000,35.7864,-93.4669,1
150,2023,2,16,2023-02-16,AR,2,300000,36.0425,-92.9051,1
151,2023,2,16,2023-02-16,AR,1,10000,35.8649,-92.7179,2
152,2023,2,16,2023-02-16,MS,1,100000,31.6756,-90.3063,11
153,2023,2,16,2023-02-16,MS,1,140000,31.8363,-89.5982,13
154,2023,2,16,2023-02-16,MS,2,500000,34.7259,-89.0426,13
155,2023,2,16,2023-02-16,TN,1,150000,35.0939,-88.6307,13
156,2023,2,16,2023-02-16,MS,0,40000,31.4664,-89.7565,14
157,2023,2,16,2023-02-16,TN,0,25000,35.2491,-87.4872,15
158,2023,2,16,2023-02-16,MS,1,25000,34.0608,-88.4525,15
159,2023,2,16,2023-02-16,TN,0,25000,35.34,-87.29,15
